ID,Clean,Notes
0a589d65-50a3-4999-8f16-b5b6199bceee,,
0d528a19-cb0f-4421-b250-444f9343e51c,,
0e0d57cd-8662-4091-86d4-ed3e35d04ef6,,
0f5fb60c-51d4-4618-871d-650c9e927b79,,
1a32e987-cae8-458f-9c26-d9a6abf5348d,,
1ade22ad-99bc-4954-b2b9-fb9e8fa06d41,Y,
1afe1b3b-3e2e-48d3-b859-f50e222cbaf4,,
1ee489e8-55ad-4d4a-8277-24051b85c02d,,
1f98fe4d-26c7-460f-9f68-33964bc4d8d3,Y,
1fc37390-1769-452d-9bea-19025be4c467,Y,
2a3fd99d-c86f-4275-9321-ad7146364503,Y,
2b4e8304-c92d-4347-b09e-cfb9b3e29bf2,,
2c020edb-5947-4fa7-afea-ebc592cea683,,
2dc237cd-1637-46f0-8f58-ca68dc6f6031,Y,
2e5d996d-43f3-4359-b7c5-afebe9997556,,
02ee37da-eea3-42b4-83bf-ab7f243afa13,,
3a047d1a-f56d-4bf4-9910-f4f77206e53d,,
3a6023c3-4cd8-46c0-a376-d353743648a9,,
3c3b5fdb-f15e-4ba4-884a-b083ce2426c6,,
3c557409-3a34-43c2-9159-5421bbad5ecb,,
3e41f238-7c48-4a42-ba70-5ee39824a844,,
3e656eec-84d4-4a45-b410-d3817d849f92,,
3e7985e5-408f-4cf8-92b9-b9f62f738dd3,Y,
3e389000-8fdc-4b63-b8b8-ab044273790d,,
3f5233cb-57fa-4772-b389-f295a6f416ae,,
4a896cde-57c6-4646-b610-1b0b654d0349,,
4b9f86f4-23e4-458b-839e-8a63b584bea3,,
4cbd6c36-87a2-4d50-86e3-52d39b98fad3,,
5a6df5c7-a58a-479e-bdfb-c5946c221933,Y,"20s of harmonica, some drum bleed in vox"
05b0ab77-2495-438d-8831-e3d81f96c16d,Y,"Bass sometimes doesn't sound like ""bass"""
05e7af85-9721-4b42-952a-ccd34feb6033,,
5f04798d-c7be-4b8a-90bd-1fcd9946e875,,
6b168ae6-9d8a-4dc2-9d27-898e6871bf8b,,
06bfc6e7-e5ac-4827-bf8e-ffaf1675872f,Y,Crash cymbal in other
6c70d5e0-5972-444a-86f8-a558dbb92d92,,
6cd44645-ed19-4ecc-a57c-58d400005b29,,
6ce087b4-e571-4472-9be2-04b5340311c6,,
6ceda40a-88bc-4e98-87c3-dd5c91725d41,,
6e50565e-8179-4913-af54-a2a7f0dcab2f,,
7a9f3169-7bdf-483c-9634-8e5b097d50df,,
7ba734f0-547e-4142-a9b4-01a0c25b9d1f,,
7bfa233c-24ed-4c7a-9096-11e3aa00c55d,,
7dd515b0-e218-425d-b8bf-a75056237d6a,,
7e74ce11-1603-440b-8794-b6e665b917e1,,
7efcb55d-c0db-472f-b765-1739ad7536aa,,
07fb2df2-91d6-458d-9230-9638b4edac08,,
8a6c9c1f-4865-404f-a805-1949de36a33c,,
8b83ba75-5e35-48c4-b42f-5419da2e6301,Y,
8ce11544-9a6f-4f1e-ac2f-fc10343f15c8,,
8e2d0c5c-6764-4d74-a740-391d7931ffd7,,
8f36f17f-c033-4c1b-a793-80dce43d507b,,
9ac2612b-e25f-4d27-8d43-b957e7e5a74b,Y,
9c8a5c66-f6d8-4425-8671-6b7aa6a2663b,,
9ce23a79-20eb-431a-80d2-eda3260ef503,,
9eb8bc50-cffb-4c19-be0e-d27423e3e102,,
9f581867-9f63-4ec4-8a43-e62c3c4230a6,,
9fc0cff7-bb02-496f-9fa1-db67c52b1b4b,,
13f233aa-a2e5-4683-8533-2f1e344b55b4,,
014f3712-293b-42af-9f29-0ed1785be792,,
16fb6c39-3834-4cfc-abf4-abb4a8d4646c,,
22d265ef-ee2b-4aba-8d60-c3430295cd6d,Y,
22ea41a3-1766-4a76-8071-380b27f1869a,,
24f8a652-0168-4702-8725-42f9924e6729,,
30cfc60a-5a57-4000-a05e-65006c8f6f74,,
35a19148-49bf-451d-9a0e-5ab8e914c367,,
36ee7fc6-604c-4a75-b4f0-0a9ceef3b9cb,Y,
43ca388d-3e62-4df2-b72d-abf407a7aa5a,,
045dcfd1-e960-4332-80cc-fdacc4a7c6a7,,
046ab651-a333-46e1-9d27-ab14ee036c42,,
46bc5393-7753-44ae-913b-bd5fa8f33e98,,
49ed7cef-8ffb-4833-bc96-6df7b8ff5b43,,
58efddfb-04b3-4951-858e-e7dbcfccfc21,,
58fa04aa-426f-4e16-a112-29eb6e2f2d3e,,
63b68795-0076-476b-a917-dec9e89bf91e,Y,
72c6f013-11ea-4bf7-93b2-c6ef2c117718,,
78ef22ce-472f-4f82-8656-16df73b9465f,Y,
87a5da23-f17b-44da-accf-c04832f81a14,,
88b545e5-4d06-4d55-a306-1bd3a2915ee5,,
89c515c9-5e93-4cb4-9806-20432d2d074d,,
89f2c781-5c67-4508-a2d6-236744b8c197,,
93dda0e8-dd76-49e4-b08f-54a82387cdf6,,
94fafb2a-9f4e-4a01-bee9-998008f95f41,,
97b07e0e-274e-4212-a66b-44210a48724d,Y,Strange sfx in Vox @ 0:30
125fc63d-9b69-4170-a46a-42c91bc28446,,
152d4f5d-4093-4fa4-a4a4-8a9b3502d89d,,
174a115f-3688-45dc-8c39-9d05f21758e1,,
0177be35-64de-469b-908b-2d9edb49c053,,
212bb137-fd01-465e-80f3-a890fb0ebcdd,,
260c431b-72d4-4ac6-bae5-ee49ce5c0fe4,,
312bec8d-1c61-43e0-924a-1fb87ddc3e41,Y,
322f4d9d-b0c9-4ab3-9e30-544a25331ffd,,
334ed0e5-1761-4ee9-9d39-a555eb9b64a0,,
0358fd1e-244a-4422-9a42-29b5d68f6e4b,Y,No Bass track
390b4fea-92be-4fe3-9576-86529f80b4ae,,
664cc931-4e00-441e-9a78-e7a292515cea,,
704f1de9-1d02-4c2b-af05-107a7700a51d,,
747d5c98-665b-4470-a696-7a6cf6968ef1,,
765d5131-afd9-4ad7-8786-8bef5705c1c2,Y,
825f697d-5fcd-4429-ba33-23163c726ca7,,
1921a83e-0373-4bf7-8dc9-6cc9401c9309,,
2973adc9-6bf8-4422-9f7a-6fd0038eb565,Y,
4380ad97-2620-4419-a011-ddfa29a87f54,,
4999a0bf-a753-4e0e-85b1-690259dabf96,,
6031b120-f6e2-4999-96ba-a1e31be68ea8,,
06114cc2-e34d-4f8f-82d3-cf6981572f2f,,
6681f493-c996-424a-9bdb-c671912ea9db,,
7180bffa-dd48-49b9-bc02-f6e3f7f165b0,,
8042b88a-6179-406b-9ec4-b45a4cdd4a71,,
8804c154-6294-481a-ad63-bc61162cae2f,,
28748b6e-6125-42f7-998d-2ad734e39b6c,,
49478a32-483f-48d2-a594-d272b44bf587,Y,
53808b95-cfe9-461d-a113-ffadf32817a1,,
